@RELATION extratreest6Classes
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Conversations,Human-Gathering,Multimedia,Outdoors,Scream,SobbandCry}

@DATA
0.250556,0.170215,3.067715,0.352554,0.250083,1.811882,0.013227,0.450234,-23.030703,0.863158,-0.519418,-0.672237,-0.296241,-0.390298,-0.370015,-0.471638,-0.102413,0.117275,0.178000,0.050452,0.041019,0.010811,0.007861,0.008028,0.009016,0.013202,0.013350,0.025724,0.006688,0.025650,0.015427,0.009972,0.007454,0.020359,0.083722,0.162503,0.273809,0.060532,0.025944,0.514599,0.008165,0.184050,2.301900,0.732997,0.675203,0.510118,0.333578,0.351043,0.333575,0.375603,0.358131,0.351114,0.351241,0.320539,0.304642,0.015692,0.009872,0.009423,0.012644,0.014964,0.016471,0.029071,0.009228,0.029177,0.015917,0.012035,0.011612,0.011120,Conversations
0.201747,0.129392,3.001058,0.339030,0.260775,1.573665,0.015908,0.415706,-24.036319,1.123776,-0.164576,-0.766117,-0.339626,-0.386786,-0.389002,-0.494779,-0.223627,0.012361,0.067909,0.148885,0.008880,0.007854,0.004396,0.036127,0.009803,0.017368,0.019911,0.019673,0.005616,0.022150,0.016558,0.011527,0.007335,0.027200,0.082310,0.135140,0.364717,0.070576,0.026359,0.509731,0.011423,0.217867,2.923193,0.683200,0.606671,0.539336,0.381658,0.339444,0.332320,0.351952,0.394150,0.421397,0.429012,0.351318,0.280231,0.011754,0.007735,0.035732,0.017212,0.028242,0.031495,0.028178,0.009615,0.028302,0.026783,0.016676,0.011809,0.011879,Conversations
0.215302,0.062331,3.052890,0.311939,0.237135,1.790372,0.014967,0.390021,-25.084032,1.334430,-0.471789,-0.495034,-0.302687,-0.160613,-0.279747,-0.332847,-0.286149,-0.291225,-0.276474,0.024438,0.005026,0.011395,0.005969,0.023690,0.025523,0.027480,0.023990,0.012317,0.004836,0.011359,0.011199,0.012326,0.006856,0.023676,0.075809,0.072959,0.300932,0.054942,0.025446,0.510105,0.010886,0.169066,2.245876,0.709541,0.587978,0.500295,0.331355,0.327805,0.293590,0.277653,0.320935,0.303178,0.317058,0.350708,0.338352,0.015922,0.008903,0.022045,0.034691,0.034039,0.032418,0.014067,0.007571,0.013394,0.015738,0.016232,0.008565,0.013140,Conversations
0.222521,0.069819,3.026458,0.312800,0.234488,1.822944,0.015024,0.395237,-25.264469,1.206813,-0.691873,-0.546892,-0.292212,-0.297216,-0.362426,-0.363208,-0.222315,-0.093201,-0.114326,0.060771,-0.049156,0.010738,0.006056,0.020474,0.017128,0.017781,0.019089,0.014179,0.007205,0.015953,0.013827,0.013461,0.008023,0.019743,0.068390,0.087024,0.347390,0.047527,0.028378,0.490266,0.012646,0.173133,2.396265,0.646528,0.644588,0.541160,0.349791,0.301816,0.304352,0.297183,0.316565,0.321565,0.330514,0.320621,0.310066,0.011067,0.006958,0.016575,0.021488,0.021651,0.028275,0.016124,0.012223,0.018004,0.016563,0.018922,0.007979,0.011215,Conversations
0.219699,0.101136,2.999414,0.331081,0.247906,1.762060,0.016273,0.401450,-24.172940,1.109860,-0.459505,-0.668855,-0.167845,-0.299817,-0.398210,-0.324829,-0.224181,-0.055218,-0.035567,-0.058288,0.017987,0.009057,0.005316,0.026521,0.017495,0.019108,0.016139,0.014995,0.007425,0.017316,0.012801,0.010943,0.007113,0.022455,0.086580,0.109783,0.367786,0.063282,0.026705,0.541442,0.011239,0.201354,2.479053,0.793309,0.682375,0.570165,0.342714,0.361209,0.307550,0.342281,0.343972,0.369373,0.336649,0.350945,0.341445,0.012489,0.007682,0.025932,0.022839,0.029411,0.023491,0.019745,0.014468,0.021879,0.017186,0.014508,0.011810,0.011814,Conversations
0.181809,0.147433,3.056351,0.290517,0.238871,1.450370,0.019060,0.310979,-24.116806,1.534280,-0.476559,-0.718197,-0.318511,-0.317323,-0.458699,-0.291201,-0.195376,0.117470,0.142036,0.128325,-0.002756,0.011337,0.007840,0.029074,0.009174,0.012286,0.017068,0.019773,0.006590,0.026459,0.015598,0.014533,0.009773,0.027292,0.059222,0.147026,0.311710,0.048743,0.026396,0.434952,0.013860,0.169048,2.975930,0.585716,0.539926,0.549700,0.387090,0.316037,0.349274,0.362105,0.400812,0.387068,0.380917,0.333272,0.275230,0.018430,0.012701,0.029252,0.012914,0.022659,0.025325,0.026638,0.008887,0.032193,0.021834,0.020886,0.014904,0.011339,Conversations
0.214297,0.059442,3.021491,0.312677,0.249322,1.785139,0.014307,0.395699,-24.907844,1.577855,-0.265054,-0.664210,-0.196539,-0.230322,-0.229493,-0.194258,-0.261957,-0.247330,-0.277318,-0.144994,-0.086352,0.019952,0.008951,0.025306,0.031546,0.024968,0.017115,0.013304,0.005051,0.009957,0.008972,0.012754,0.009682,0.022390,0.088066,0.073572,0.374107,0.061515,0.024632,0.559720,0.010204,0.211714,2.155710,0.637274,0.538041,0.463190,0.339233,0.282697,0.283027,0.262319,0.284278,0.295738,0.314479,0.298694,0.341463,0.023815,0.011063,0.026307,0.037756,0.030560,0.021998,0.014899,0.007020,0.013604,0.010503,0.014150,0.011464,0.013887,Conversations
0.071245,0.016148,3.048734,0.155477,0.182687,0.510563,0.012569,0.107169,-26.059765,2.313416,-0.012293,-0.373416,-0.186358,0.197518,0.023416,0.001400,-0.038919,-0.508163,-0.261329,-0.231958,0.165739,0.005028,0.005057,0.053283,0.045559,0.048021,0.011729,0.015879,0.001003,0.002601,0.005617,0.015503,0.002876,0.030902,0.061270,0.018974,0.243935,0.069654,0.034116,0.542981,0.007317,0.135906,2.092347,0.761363,0.740584,0.571330,0.345968,0.317158,0.289056,0.382717,0.335603,0.382639,0.269432,0.297808,0.375636,0.004560,0.010185,0.054077,0.053805,0.048284,0.022830,0.013572,0.001607,0.003735,0.008553,0.017236,0.004200,0.014250,Conversations
0.076770,0.018018,3.055154,0.154788,0.176789,0.483109,0.012765,0.107328,-25.851639,2.460781,-0.017400,-0.509541,-0.235614,0.092228,0.077824,-0.097398,0.019445,-0.488255,-0.258979,-0.264791,0.109792,0.006344,0.005949,0.050802,0.047150,0.036305,0.013146,0.012031,0.001028,0.003041,0.007668,0.013751,0.003365,0.027995,0.082358,0.018693,0.263368,0.082930,0.033246,0.533216,0.008724,0.153486,1.951517,0.758945,0.700990,0.658640,0.331327,0.430781,0.299639,0.371546,0.375565,0.349555,0.267097,0.303819,0.390143,0.005981,0.010859,0.045956,0.055621,0.042695,0.026212,0.010129,0.001238,0.003380,0.013453,0.015173,0.004781,0.015090,Conversations
0.063907,0.023958,3.020752,0.141944,0.173626,0.364199,0.012549,0.079333,-25.247113,2.496105,-0.239406,-0.395617,-0.201896,0.005040,0.103956,-0.182471,-0.015272,-0.534254,-0.283161,-0.196356,0.153231,0.006883,0.005908,0.045488,0.043208,0.046901,0.017354,0.011271,0.000932,0.003247,0.007160,0.013150,0.003401,0.029188,0.058318,0.019266,0.290079,0.063454,0.029575,0.381471,0.008267,0.098919,1.721350,0.763546,0.740222,0.732774,0.373578,0.410618,0.263638,0.335479,0.359252,0.363938,0.273509,0.348095,0.412062,0.008437,0.008291,0.047976,0.052405,0.050456,0.033361,0.012893,0.000969,0.003538,0.015671,0.014943,0.004768,0.014392,Conversations
